code,公司名稱,當月營收,上月營收,去年當月營收,上月比較 增減(%),去年同月 增減(%),當月累計營收,去年累計營收,前期比較 增減(%),備註,
1617,榮星,263384,242409,151760,8.65,73.55,263384,151760,73.55,因去年1月適逢春節假期，故本期工作天數較多所致。,263384
1618,合機,257336,336373,151877,-23.49,69.43,257336,151877,69.43,"113年1月業主通知交貨較多,致超高壓及高壓線出貨量較去年同期增加。",257336
4930,燦星網,655940,532098,526771,23.27,24.52,655940,526771,24.52,-,655940
5283,禾聯碩,347870,596767,295223,-41.7,17.83,347870,295223,17.83,-,347870
1708,東鹼,464607,562585,435183,-17.41,6.76,464607,435183,6.76,-,464607
1709,和益,804814,821519,739306,-2.03,8.86,804814,739306,8.86,-,804814
1710,東聯,2111069,1791554,1544402,17.83,36.69,2111069,1544402,36.69,無,2111069
1711,永光,705432,647930,552437,8.87,27.69,705432,552437,27.69,-,705432
1712,興農,1760419,1464691,1878943,20.19,-6.3,1760419,1878943,-6.3,-,1760419
1713,國化,44123,41519,26296,6.27,67.79,44123,26296,67.79,客戶需求增加,44123
1714,和桐,1706491,1856571,1582206,-8.08,7.85,1706491,1582206,7.85,-,1706491
1717,長興,3850564,3616506,2465213,6.47,56.19,3850564,2465213,56.19,因上期適逢農曆春節工作日減少，致本期營業收入淨額較去年同期增加。,3850564
1718,中纖,3845901,2944283,3169704,30.62,21.33,3845901,3169704,21.33,本月份自結異業別合併營收資訊，未經會計師簽證或核閱。,3845901
1721,三晃,194153,164871,166550,17.76,16.57,194153,166550,16.57,-,194153
1722,台肥,1308240,860502,1160450,52.03,12.73,1308240,1160450,12.73,-,1308240
1723,中碳,512792,671492,672027,-23.63,-23.69,512792,672027,-23.69,-,512792
1725,元禎,709799,601945,537180,17.91,32.13,709799,537180,32.13,-,709799
1726,永記,906449,872172,766379,3.93,18.27,906449,766379,18.27,-,906449
1727,中華化,132069,127019,133909,3.97,-1.37,132069,133909,-1.37,-,132069
1730,花仙子,323292,213198,307061,51.63,5.28,323292,307061,5.28,-,323292
1732,毛寶,57419,48677,45408,17.95,26.45,57419,45408,26.45,-,57419
1735,日勝化,231312,191807,128223,20.59,80.39,231312,128223,80.39,去年1月遇農曆新年長假,231312
1773,勝一,941233,879223,738653,7.05,27.42,941233,738653,27.42,-,941233
1776,展宇,108440,92030,103456,17.83,4.81,108440,103456,4.81,-,108440
4720,德淵,359204,256595,218870,39.98,64.11,359204,218870,64.11,"營收金額較去年同期增加140,334仟元、比例增加64.12%，主要係因客戶春節提前備貨所致。",359204
4722,國精化,331008,326748,162763,1.3,103.36,331008,162763,103.36,本月及本年增減百分比達50%以上：主為客戶庫存調整告一段落及市場需求明顯回升，與農曆春節假期月份差異．,331008
4739,康普,351642,391604,482936,-10.2,-27.18,351642,482936,-27.18,-,351642
4755,三福化,414681,509355,357749,-18.58,15.91,414681,357749,15.91,-,414681
4764,雙鍵,216261,219683,151458,-1.55,42.78,216261,151458,42.78,-,216261
4766,南寶,1856571,1787527,1190314,3.86,55.97,1856571,1190314,55.97,去年當月營收受春節長假影響,1856571
4770,上品,531642,420555,525083,26.41,1.24,531642,525083,1.24,-,531642
1701,中化,891625,743886,753430,19.86,18.34,891625,753430,18.34,-,891625
1707,葡萄王,789501,1197757,666333,-34.08,18.48,789501,666333,18.48,-,789501
1720,生達,642231,503152,493507,27.64,30.13,642231,493507,30.13,-,642231
